from,to,weight,edge_type,title,bridge_route
Chapter 5::habit_interruption,Chapter 5::bodily_regulation,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::accountability_orientation,Chapter 5::temporal_control,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::bodily_regulation,Chapter 5::temporal_control,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::standard_setting,Chapter 5::embodied_standardisation,3,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 3</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::accountability_orientation,Chapter 5::embodied_standardisation,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::adaptation_timetable,Chapter 5::embodied_standardisation,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::psychological_uncertainty,Chapter 5::embodied_standardisation,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::symbolic_coercion,Chapter 5::embodied_standardisation,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::habit_repetition,Chapter 5::embodied_standardisation,2,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 2</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::habit_interruption,Chapter 5::embodied_standardisation,1,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 1</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
Chapter 5::bodily_regulation,Chapter 5::embodied_standardisation,6,Within chapter,<div style='max-width:420px'><h3>Within-chapter co-occurrence</h3><p><b>Chapter 5</b></p><p><b>Co-occurrence weight:</b> 6</p><p>This edge means the two codes appeared together within bounded thematic clusters in this chapter.</p></div>,NA
