from,to,weight,edge_type,title
Chapter 6::Female youths::psychological_wounding,Chapter 6::Female youths::humiliation_display,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::discipline_boundary_judgement,Chapter 6::Female youths::silencing_nonresponse,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::psychological_wounding,Chapter 6::Female youths::family_separation_priority,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::psychological_wounding,Chapter 6::Female youths::exclusion_isolation,3,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 3</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::bodily_harm_danger,Chapter 6::Female youths::peer_mistrust_betrayal,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::silencing_nonresponse,Chapter 6::Female youths::peer_mistrust_betrayal,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::bodily_harm_danger,Chapter 6::Female youths::authority_disregard,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::psychological_wounding,Chapter 6::Female youths::authority_disregard,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::verbal_degradation,Chapter 6::Female youths::authority_disregard,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::silencing_nonresponse,Chapter 6::Female youths::authority_disregard,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::humiliation_display,Chapter 6::Female youths::structural_powerlessness,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::needed_responsibility,Chapter 6::Female youths::structural_powerlessness,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::peer_mistrust_betrayal,Chapter 6::Female youths::group_fragmentation,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::depletion_exhaustion,Chapter 6::Female youths::temporal_disruption,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::structural_powerlessness,Chapter 6::Female youths::temporal_disruption,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::temporal_disruption,Chapter 6::Female youths::endurance_conditioning,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::endurance_conditioning,Chapter 6::Female youths::reframing_as_training,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::routine_internalisation,Chapter 6::Female youths::positive_transformation,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::reframing_as_training,Chapter 6::Female youths::positive_transformation,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::psychological_wounding,Chapter 6::Female youths::ambivalent_unresolved_change,2,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 2</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::peer_care_solidarity,Chapter 6::Female youths::ambivalent_unresolved_change,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
Chapter 6::Female youths::respect_recognition,Chapter 6::Female youths::ambivalent_unresolved_change,1,Within-group co-occurrence,<div style='max-width:430px'><h3>Within-group co-occurrence</h3><p><b>Chapter:</b> Chapter 6<br><b>Group:</b> Female youths<br><b>Weight:</b> 1</p><p>This edge shows that the two codes co-occurred within bounded thematic clusters for this group.</p></div>
